V1 V2
1 Bigeye 17153.039358858
2 Mahi 6058.77438780116
3 BlueShark 6409.62667333785
4 Skipjack 16630.2426952184
5 Yellowfin 14047.8054545997
6 Albacore 14270.5535993514
7 StripedMarlin 7008.93742876864
8 Wahoo 4294.52390292383
9 Swordfish 11956.8779404148
10 BlueMarlin 9964.4362334203
11 Lancetfish 1699.08227637737
12 Opah 27153.2425789849
