V1 V2
1 Bigeye 707.654193758771
2 Mahi 230.493548466854
3 BlueShark 198.41442621767
4 Skipjack 471.720783462658
5 Yellowfin 587.521647723317
6 Albacore 624.902764254023
7 StripedMarlin 217.745414509219
8 Wahoo 116.938443486404
9 Swordfish 423.808030353201
10 BlueMarlin 383.747892014413
11 Lancetfish 79.3029678657235
12 Opah 1603.77890342497
