Months.Since.1Jan1840,Year.Month.Day,bp90cm.gm-2
1451,1961-01-01,0.10264876993385079
1452,1961-02-01,0.10264882166701639
1453,1961-03-01,0.10264887334395278
1454,1961-04-01,0.1026489249647245
1455,1961-05-01,0.10264897652939599
1456,1961-06-01,0.10264902803803161
1457,1961-07-01,0.1026490794906957
1458,1961-08-01,0.10264913088745242
1459,1961-09-01,0.10264918222836594
1460,1961-10-01,0.10264923351350033
1461,1961-11-01,0.10264928474291957
1462,1961-12-01,0.10264933591668755
1463,1962-01-01,0.10264938703486813
1464,1962-02-01,0.10264943809752504
1465,1962-03-01,0.10264948910472198
1466,1962-04-01,0.10264954005652253
1467,1962-05-01,0.10264959095299023
1468,1962-06-01,0.10264964179418852
1469,1962-07-01,0.10264969258018077
1470,1962-08-01,0.10264974331103026
1471,1962-09-01,0.10264979398680023
1472,1962-10-01,0.1026498446075538
1473,1962-11-01,0.10264989517335404
1474,1962-12-01,0.10264994568426396
1475,1963-01-01,0.10264999614034645
1476,1963-02-01,0.1026264630294494
1477,1963-03-01,0.10261418695415216
1478,1963-04-01,0.10260205691803723
1479,1963-05-01,0.10259008146461786
1480,1963-06-01,0.10257826463076417
1481,1963-07-01,0.10256660730114836
1482,1963-08-01,0.10255510801674948
1483,1963-09-01,0.1025437635794059
1484,1963-10-01,0.10253256959505884
1485,1963-11-01,0.10252152092984125
1486,1963-12-01,0.10251061203046241
1487,1964-01-01,0.10249965355961121
1488,1964-02-01,0.10249871099401263
1489,1964-03-01,0.10249791815057337
1490,1964-04-01,0.10249725402520317
1491,1964-05-01,0.10249669929270488
1492,1964-06-01,0.10249623645266925
1493,1964-07-01,0.10249584978397783
1494,1964-08-01,0.1024955254064964
1495,1964-09-01,0.10249525136860624
1496,1964-10-01,0.10249501764282895
1497,1964-11-01,0.10249481599248061
1498,1964-12-01,0.10249463973959902
1499,1965-01-01,0.10251427181071042
1500,1965-02-01,0.10253601137147049
1501,1965-03-01,0.10255765717889793
1502,1965-04-01,0.10257920421592721
1503,1965-05-01,0.10260065332759027
1504,1965-06-01,0.10262200911580094
1505,1965-07-01,0.10264327807384173
1506,1965-08-01,0.10266446723336134
1507,1965-09-01,0.10268558329776416
1508,1965-10-01,0.10270663217732476
1509,1965-11-01,0.10272761883518827
1510,1965-12-01,0.10274854734858702
1511,1966-01-01,0.10276942109049571
1512,1966-02-01,0.10282611431797611
1513,1966-03-01,0.10287931245513895
1514,1966-04-01,0.102931175627834
1515,1966-05-01,0.10298126341300505
1516,1966-06-01,0.10302936272126183
1517,1966-07-01,0.10307543047379464
1518,1966-08-01,0.1031195205360636
1519,1966-09-01,0.10316172996434414
1520,1966-10-01,0.1032021700468709
1521,1966-11-01,0.10324095439682797
1522,1966-12-01,0.10327819528799435
1523,1967-01-01,0.1033140027258196
1524,1967-02-01,0.1033562124397416
1525,1967-03-01,0.1033937482397876
1526,1967-04-01,0.10342961246491278
1527,1967-05-01,0.10346388928292358
1528,1967-06-01,0.1034966847530739
1529,1967-07-01,0.10352811419810211
1530,1967-08-01,0.10355829233764069
1531,1967-09-01,0.10358732798822975
1532,1967-10-01,0.10361532200980494
1533,1967-11-01,0.10364236687077198
1534,1967-12-01,0.10366854683475231
1535,1968-01-01,0.10369393834326673
1536,1968-02-01,0.10372008055019401
1537,1968-03-01,0.10374323762847397
1538,1968-04-01,0.10376570922841477
1539,1968-05-01,0.10378753415544507
1540,1968-06-01,0.10380875258882552
1541,1968-07-01,0.10382940426376328
1542,1968-08-01,0.10384952724902621
1543,1968-09-01,0.10386915736148701
1544,1968-10-01,0.10388832796316114
1545,1968-11-01,0.10390706993941254
1546,1968-12-01,0.10392541175905662
1547,1969-01-01,0.10394337957760347
1548,1969-02-01,0.10396094585204745
1549,1969-03-01,0.10397657022886461
1550,1969-04-01,0.10399187724714805
1551,1969-05-01,0.10400688276009831
1552,1969-06-01,0.10402160151118936
1553,1969-07-01,0.10403604730016869
1554,1969-08-01,0.1040502332596545
1555,1969-09-01,0.10406417198833748
1556,1969-10-01,0.10407787554386946
1557,1969-11-01,0.10409135538158076
1558,1969-12-01,0.10410462230402659
1559,1970-01-01,0.10411768644524681
1560,1970-02-01,0.10413036045568547
1561,1970-03-01,0.10413922290626308
1562,1970-04-01,0.10414790361393142
1563,1970-05-01,0.10415641721022918
1564,1970-06-01,0.10416477549071118
1565,1970-07-01,0.10417298779210139
1566,1970-08-01,0.10418106183686869
1567,1970-09-01,0.10418900434413575
1568,1970-10-01,0.1041968213193155
1569,1970-11-01,0.1042045181603471
1570,1970-12-01,0.1042120997122393
1571,1971-01-01,0.10421982170056586
1572,1971-02-01,0.10422244623464962
1573,1971-03-01,0.10422494472521954
1574,1971-04-01,0.10422733197149933
1575,1971-05-01,0.10422962016598215
1576,1971-06-01,0.10423181868127665
1577,1971-07-01,0.1042339347771076
1578,1971-08-01,0.10423597428484634
1579,1971-09-01,0.10423794201600457
1580,1971-10-01,0.1042398419663149
1581,1971-11-01,0.10424167743998126
1582,1971-12-01,0.10424345116783144
1583,1972-01-01,0.10424474539315678
1584,1972-02-01,0.10423980252283752
1585,1972-03-01,0.1042348332064632
1586,1972-04-01,0.1042298627382908
1587,1972-05-01,0.10422490786099624
1588,1972-06-01,0.1042199782614052
1589,1972-07-01,0.1042150789925633
1590,1972-08-01,0.10421021232512855
1591,1972-09-01,0.10420537880081525
1592,1972-10-01,0.10420057776204653
1593,1972-11-01,0.10419580765279685
1594,1972-12-01,0.10419106625637693
1595,1973-01-01,0.10418260272965059
1596,1973-02-01,0.10417288376084827
1597,1973-03-01,0.1041633402696761
1598,1973-04-01,0.10415401579120452
1599,1973-05-01,0.10414493412638721
1600,1973-06-01,0.10413610336234924
1601,1973-07-01,0.10412752151501602
1602,1973-08-01,0.10411918106326014
1603,1973-09-01,0.10411107172091416
1604,1973-10-01,0.10410318185088145
1605,1973-11-01,0.1040954991291451
1606,1973-12-01,0.10408801089241934
1607,1974-01-01,0.1040697308370338
1608,1974-02-01,0.1040562750885871
1609,1974-03-01,0.10404312676209321
1610,1974-04-01,0.10403035273928699
1611,1974-05-01,0.10401800977319856
1612,1974-06-01,0.10400613923699335
1613,1974-07-01,0.10399476517597658
1614,1974-08-01,0.10398389569148299
1615,1974-09-01,0.10397352646684327
1616,1974-10-01,0.10396364490398655
1617,1974-11-01,0.10395423373436238
1618,1974-12-01,0.1039452735985276
1619,1975-01-01,0.10391853942151998
1620,1975-02-01,0.10390036158478387
1621,1975-03-01,0.10388244708795415
1622,1975-04-01,0.10386480479103806
1623,1975-05-01,0.10384743809343648
1624,1975-06-01,0.10383034636518995
1625,1975-07-01,0.1038135259362873
1626,1975-08-01,0.10379697082502867
1627,1975-09-01,0.1037806733603089
1628,1975-10-01,0.1037646247160011
1629,1975-11-01,0.10374881532919335
1630,1975-12-01,0.10373323519464468
1631,1976-01-01,0.10371645836542404
1632,1976-02-01,0.1037076817914668
1633,1976-03-01,0.10369915497915866
1634,1976-04-01,0.10369086618778264
1635,1976-05-01,0.103682802578029
1636,1976-06-01,0.10367495092655735
1637,1976-07-01,0.10366729802026473
1638,1976-08-01,0.10365983096393494
1639,1976-09-01,0.10365253744835656
1640,1976-10-01,0.10364540594023886
1641,1976-11-01,0.10363842576673823
1642,1976-12-01,0.1036315871055544
1643,1977-01-01,0.10363466491759937
1644,1977-02-01,0.10364284137776214
1645,1977-03-01,0.1036511667851749
