Months.Since.1Jan1840,Year.Month.Day,bp90cm.gm-2
1451,1961-01-01,0.003737064978663521
1452,1961-02-01,0.0037370650898698164
1453,1961-03-01,0.003635928554867629
1454,1961-04-01,0.003615526014354753
1455,1961-05-01,0.0036988397114781127
1456,1961-06-01,0.003919209356845118
1457,1961-07-01,0.004009233253605229
1458,1961-08-01,0.0040250478513112215
1459,1961-09-01,0.004014267927279269
1460,1961-10-01,0.003986480949467253
1461,1961-11-01,0.00394849047069913
1462,1961-12-01,0.003897270318268219
1463,1962-01-01,0.003842849711761349
1464,1962-02-01,0.0040209162592399865
1465,1962-03-01,0.0041027272118553315
1466,1962-04-01,0.004222160833459115
1467,1962-05-01,0.004419086670720386
1468,1962-06-01,0.004761303184186902
1469,1962-07-01,0.004958213264920351
1470,1962-08-01,0.005060262196056878
1471,1962-09-01,0.005116472151857013
1472,1962-10-01,0.005133580741032864
1473,1962-11-01,0.005128075176754464
1474,1962-12-01,0.005103047332103431
1475,1963-01-01,0.005066151701227188
1476,1963-02-01,0.004842407628284099
1477,1963-03-01,0.004617823293222649
1478,1963-04-01,0.004604167145230308
1479,1963-05-01,0.00472502808404293
1480,1963-06-01,0.004803820866509314
1481,1963-07-01,0.004811070848169953
1482,1963-08-01,0.004783979736472189
1483,1963-09-01,0.0047477510386637455
1484,1963-10-01,0.0046981459645859475
1485,1963-11-01,0.0046386503248579646
1486,1963-12-01,0.004576195102228493
1487,1964-01-01,0.004515993120005857
1488,1964-02-01,0.004459990637898922
1489,1964-03-01,0.004434114493217345
1490,1964-04-01,0.004466982225927264
1491,1964-05-01,0.004554348037308362
1492,1964-06-01,0.00467005186977555
1493,1964-07-01,0.004713050867830225
1494,1964-08-01,0.004707448250027184
1495,1964-09-01,0.004677541673490947
1496,1964-10-01,0.004636381430467092
1497,1964-11-01,0.004596476440581037
1498,1964-12-01,0.004546644396069823
1499,1965-01-01,0.004490889593642847
1500,1965-02-01,0.0044180484154561425
1501,1965-03-01,0.0042696054674843924
1502,1965-04-01,0.004206915786378301
1503,1965-05-01,0.004284978735478357
1504,1965-06-01,0.004446597788607165
1505,1965-07-01,0.004539820672837611
1506,1965-08-01,0.004575151451101665
1507,1965-09-01,0.004573846014202859
1508,1965-10-01,0.004539400281160519
1509,1965-11-01,0.004495460187189633
1510,1965-12-01,0.004441476600860432
1511,1966-01-01,0.00438273391547931
1512,1966-02-01,0.004055436372491622
1513,1966-03-01,0.003735872838850648
1514,1966-04-01,0.0035737882945934187
1515,1966-05-01,0.003632887108987705
1516,1966-06-01,0.003700856449542222
1517,1966-07-01,0.0036837629087287573
1518,1966-08-01,0.00363798682819459
1519,1966-09-01,0.00358886185272269
1520,1966-10-01,0.0035411111548589603
1521,1966-11-01,0.0035050501947600722
1522,1966-12-01,0.0034614018277725456
1523,1967-01-01,0.0034005964979861914
1524,1967-02-01,0.003456002535841895
1525,1967-03-01,0.003444162012762051
1526,1967-04-01,0.003469186648491673
1527,1967-05-01,0.0037289419919805354
1528,1967-06-01,0.00393378045734548
1529,1967-07-01,0.0040003992835402685
1530,1967-08-01,0.004000338536530802
1531,1967-09-01,0.003982761688876656
1532,1967-10-01,0.00395800551813695
1533,1967-11-01,0.003931178426751551
1534,1967-12-01,0.003899865381815782
1535,1968-01-01,0.003849842699803928
1536,1968-02-01,0.004042676750113662
1537,1968-03-01,0.004221012650033696
1538,1968-04-01,0.004386317029905658
1539,1968-05-01,0.004801417751457385
1540,1968-06-01,0.005064986320061832
1541,1968-07-01,0.005180589410137518
1542,1968-08-01,0.005225667685056998
1543,1968-09-01,0.005233725687316495
1544,1968-10-01,0.005214890893183147
1545,1968-11-01,0.005185401186551815
1546,1968-12-01,0.005151756403971869
1547,1969-01-01,0.005117487944675758
1548,1969-02-01,0.00507425478619433
1549,1969-03-01,0.005088452429165337
1550,1969-04-01,0.005098266564791671
1551,1969-05-01,0.005285988398330904
1552,1969-06-01,0.005457671460203245
1553,1969-07-01,0.00551485737161976
1554,1969-08-01,0.0055181017200044155
1555,1969-09-01,0.0054979642499132664
1556,1969-10-01,0.005462191299361068
1557,1969-11-01,0.005411364711976727
1558,1969-12-01,0.005352164608959284
1559,1970-01-01,0.005271167627329088
1560,1970-02-01,0.005400894735172553
1561,1970-03-01,0.005455960610874824
1562,1970-04-01,0.005581398418255543
1563,1970-05-01,0.005837323850224985
1564,1970-06-01,0.006187027297476114
1565,1970-07-01,0.006422360092280234
1566,1970-08-01,0.006564427084291054
1567,1970-09-01,0.006652166296745296
1568,1970-10-01,0.006700692821332066
1569,1970-11-01,0.006717353718408583
1570,1970-12-01,0.006704144422169001
1571,1971-01-01,0.006652676332205863
1572,1971-02-01,0.006337629034758752
1573,1971-03-01,0.006071837618261777
1574,1971-04-01,0.00591411756192507
1575,1971-05-01,0.005842581414639806
1576,1971-06-01,0.0060054189524707865
1577,1971-07-01,0.0061247689678734065
1578,1971-08-01,0.006174273204471599
1579,1971-09-01,0.006184064586222461
1580,1971-10-01,0.006169405795039619
1581,1971-11-01,0.006140817707744618
1582,1971-12-01,0.006090393588576243
1583,1972-01-01,0.006002490558688472
1584,1972-02-01,0.006405735062525144
1585,1972-03-01,0.006826085969494904
1586,1972-04-01,0.007300692427959009
1587,1972-05-01,0.00795705185546669
1588,1972-06-01,0.008653057328463885
1589,1972-07-01,0.009175959949229125
1590,1972-08-01,0.009575922316363054
1591,1972-09-01,0.009893295229270712
1592,1972-10-01,0.010131624070959177
1593,1972-11-01,0.010287821101603
1594,1972-12-01,0.010398866515757482
1595,1973-01-01,0.01047823115317069
1596,1973-02-01,0.01059762576569722
1597,1973-03-01,0.010646369043814262
1598,1973-04-01,0.01078567739392612
1599,1973-05-01,0.010994365702432084
1600,1973-06-01,0.011455297785949196
1601,1973-07-01,0.01178193653786559
1602,1973-08-01,0.011997585410338692
1603,1973-09-01,0.012146985684268792
1604,1973-10-01,0.012244774458679815
1605,1973-11-01,0.01229935591116454
1606,1973-12-01,0.012312877085239456
1607,1974-01-01,0.0122804659765822
1608,1974-02-01,0.01149199536594139
1609,1974-03-01,0.010735760382680684
1610,1974-04-01,0.01013161136469419
1611,1974-05-01,0.009808182721070684
1612,1974-06-01,0.009650278648831166
1613,1974-07-01,0.009473787648241997
1614,1974-08-01,0.009287836792417431
1615,1974-09-01,0.009116618777225163
1616,1974-10-01,0.0089456046759352
1617,1974-11-01,0.00878831228208325
1618,1974-12-01,0.008650325547137207
1619,1975-01-01,0.008501114699972615
1620,1975-02-01,0.008337391786280816
1621,1975-03-01,0.008099583059485467
1622,1975-04-01,0.007958403948633237
1623,1975-05-01,0.007868370418967704
1624,1975-06-01,0.007996951148579666
1625,1975-07-01,0.008131236998139696
1626,1975-08-01,0.008210460442505226
1627,1975-09-01,0.008260222448346654
1628,1975-10-01,0.008276110160405813
1629,1975-11-01,0.008268272965135192
1630,1975-12-01,0.008233346776505142
1631,1976-01-01,0.008152203996542458
1632,1976-02-01,0.00781586476475094
1633,1976-03-01,0.007486465299659625
1634,1976-04-01,0.007265033527908156
1635,1976-05-01,0.007165110748294456
1636,1976-06-01,0.007351472348964796
1637,1976-07-01,0.007446303351621572
1638,1976-08-01,0.007455549088289944
1639,1976-09-01,0.0074347951548022284
1640,1976-10-01,0.007384942406441227
1641,1976-11-01,0.007312264567543383
1642,1976-12-01,0.007243294618978723
1643,1977-01-01,0.007167136623606541
1644,1977-02-01,0.0072659486305960445
1645,1977-03-01,0.007271198884615549
1646,1977-04-01,0.007336877756801816
1647,1977-05-01,0.007431007645179904
1648,1977-06-01,0.007714532048294014
1649,1977-07-01,0.007947379590980935
1650,1977-08-01,0.008109517734492444
1651,1977-09-01,0.008216487026141544
1652,1977-10-01,0.008273478027347646
1653,1977-11-01,0.008291851919843397
1654,1977-12-01,0.008295807246045147
1655,1978-01-01,0.008273570019053541
