Months.Since.1Jan1840,Year.Month.Day,tcb.gm-2
1451,1961-01-01,0.004702223196140149
1452,1961-02-01,0.004702223332401998
1453,1961-03-01,0.004611879935275691
1454,1961-04-01,0.0046036992341467
1455,1961-05-01,0.004691486850203132
1456,1961-06-01,0.004909350024148926
1457,1961-07-01,0.004993982705179062
1458,1961-08-01,0.0050041943619886795
1459,1961-09-01,0.004988507208213874
1460,1961-10-01,0.004955194569625726
1461,1961-11-01,0.004911562098974811
1462,1961-12-01,0.0048550243789744
1463,1962-01-01,0.004799761463348995
1464,1962-02-01,0.005046296246543991
1465,1962-03-01,0.005192404379202636
1466,1962-04-01,0.0053654216879537395
1467,1962-05-01,0.005601867058578174
1468,1962-06-01,0.005966774144488813
1469,1962-07-01,0.006174904112359457
1470,1962-08-01,0.006283490008386139
1471,1962-09-01,0.006344189033739716
1472,1962-10-01,0.00636166178784508
1473,1962-11-01,0.006354830150978896
1474,1962-12-01,0.006328493885369837
1475,1963-01-01,0.0062943757232116985
1476,1963-02-01,0.006046175523071071
1477,1963-03-01,0.005809654921368608
1478,1963-04-01,0.00579168645991885
1479,1963-05-01,0.005903088592796658
1480,1963-06-01,0.005969110159892147
1481,1963-07-01,0.005962830301273653
1482,1963-08-01,0.0059243650742517055
1483,1963-09-01,0.005879305877815135
1484,1963-10-01,0.005820323269568149
1485,1963-11-01,0.005750997134162663
1486,1963-12-01,0.00568079441869355
1487,1964-01-01,0.005617291453120572
1488,1964-02-01,0.005563599841873787
1489,1964-03-01,0.005548156430453815
1490,1964-04-01,0.005592508899951053
1491,1964-05-01,0.005683350494586903
1492,1964-06-01,0.005796547912889815
1493,1964-07-01,0.005833805627146952
1494,1964-08-01,0.005822646195094025
1495,1964-09-01,0.005786512199489902
1496,1964-10-01,0.005739028900675186
1497,1964-11-01,0.005694942219283117
1498,1964-12-01,0.005641988761516406
1499,1965-01-01,0.005584708636209826
1500,1965-02-01,0.0055144647595112
1501,1965-03-01,0.005376823416484267
1502,1965-04-01,0.005327562509439949
1503,1965-05-01,0.0054106949653358076
1504,1965-06-01,0.005568702684812131
1505,1965-07-01,0.005656708623487138
1506,1965-08-01,0.005686796451385709
1507,1965-09-01,0.005679133515983515
1508,1965-10-01,0.0056354362082789555
1509,1965-11-01,0.005583809684901418
1510,1965-12-01,0.005523438317950445
1511,1966-01-01,0.005463308973135727
1512,1966-02-01,0.005075185987128429
1513,1966-03-01,0.004718816822921361
1514,1966-04-01,0.0045330942332585476
1515,1966-05-01,0.004570970871515529
1516,1966-06-01,0.004616646772620858
1517,1966-07-01,0.004581706274133488
1518,1966-08-01,0.004523006068453172
1519,1966-09-01,0.004464425237308064
1520,1966-10-01,0.004408865477779247
1521,1966-11-01,0.00436845698263094
1522,1966-12-01,0.00432041068898015
1523,1967-01-01,0.004255262501181633
1524,1967-02-01,0.0043484883615340164
1525,1967-03-01,0.004372308562386346
1526,1967-04-01,0.004424457905088064
1527,1967-05-01,0.0046999985810015
1528,1967-06-01,0.004910996698072675
1529,1967-07-01,0.004976581988904541
1530,1967-08-01,0.004972198887336802
1531,1967-09-01,0.004951424441465813
1532,1967-10-01,0.0049235844531832365
1533,1967-11-01,0.0048938131384986166
1534,1967-12-01,0.0048607419408567675
1535,1968-01-01,0.004809263065411282
1536,1968-02-01,0.005069301549323343
1537,1968-03-01,0.0053140910667568465
1538,1968-04-01,0.005538664045167845
1539,1968-05-01,0.005994749144807264
1540,1968-06-01,0.006279176178138244
1541,1968-07-01,0.006404920468286939
1542,1968-08-01,0.006455666443716256
1543,1968-09-01,0.006466345053589697
1544,1968-10-01,0.00644664832224474
1545,1968-11-01,0.006415230275369741
1546,1968-12-01,0.006381360300021409
1547,1969-01-01,0.0063504857403356915
1548,1969-02-01,0.006317002410766169
1549,1969-03-01,0.006353148401136628
1550,1969-04-01,0.006382567413038304
1551,1969-05-01,0.0065822793128517245
1552,1969-06-01,0.006755146003804548
1553,1969-07-01,0.00680843451851947
1554,1969-08-01,0.006807287273977995
1555,1969-09-01,0.00678299151864084
1556,1969-10-01,0.006742058196224463
1557,1969-11-01,0.006684553862623731
1558,1969-12-01,0.006620136062726742
1559,1970-01-01,0.006536941348283556
1560,1970-02-01,0.006729230313273565
1561,1970-03-01,0.006846547556480582
1562,1970-04-01,0.007031443275286072
1563,1970-05-01,0.007329854681224781
1564,1970-06-01,0.007704892767612024
1565,1970-07-01,0.007957211575779314
1566,1970-08-01,0.0081108340036044
1567,1970-09-01,0.008206519678563918
1568,1970-10-01,0.00825943101380047
1569,1970-11-01,0.008277506848416607
1570,1970-12-01,0.008264417774232431
1571,1971-01-01,0.008212367615379763
1572,1971-02-01,0.007870033289992013
1573,1971-03-01,0.00759134462196838
1574,1971-04-01,0.007431108505491117
1575,1971-05-01,0.007354634387225787
1576,1971-06-01,0.007505418244875474
1577,1971-07-01,0.0076121685479128304
1578,1971-08-01,0.00765013598292124
1579,1971-09-01,0.007649320756757323
1580,1971-10-01,0.0076244425171019484
1581,1971-11-01,0.007587284821646163
1582,1971-12-01,0.007529104308260496
1583,1972-01-01,0.00743421703595557
