Year,Sector,region,SAUP,FGroup,Reported,IUU,Discards
1974,industrial,Hawaiian.Longline,840,pelagic>=90cm,61810.344759981,2167.26587010875,3400.49443642549
1975,industrial,Hawaiian.Longline,840,pelagic30-90cm,1132.1789079618,103.587990162301,11.8017500224523
1975,industrial,Hawaiian.Longline,840,pelagic>=90cm,52168.0790570924,1873.75414889772,3154.32952868102
1976,industrial,Hawaiian.Longline,840,pelagic30-90cm,1322.60640928651,117.228870214687,14.4467599484451
1976,industrial,Hawaiian.Longline,840,pelagic>=90cm,61165.6254627566,1873.07153048788,3483.64558179298
1977,industrial,Hawaiian.Longline,840,pelagic30-90cm,5173.93694959037,326.353699393971,60.6409900212311
1977,industrial,Hawaiian.Longline,840,pelagic>=90cm,44239.9098760166,1480.53216016115,2533.89726595355
1978,industrial,Hawaiian.Longline,840,pelagic30-90cm,8303.35010607936,362.732279718879,98.3357900488663
1978,industrial,Hawaiian.Longline,840,pelagic>=90cm,59542.4551469474,1821.78279957598,3501.84965130123
1979,industrial,Hawaiian.Longline,840,pelagic30-90cm,16744.8246154734,571.129760260614,198.843930023464
1979,industrial,Hawaiian.Longline,840,pelagic>=90cm,50544.230829759,1547.3056092122,2762.42291078629
1980,industrial,Hawaiian.Longline,840,pelagic30-90cm,19368.3801631018,687.166810041381,228.581730452126
1980,industrial,Hawaiian.Longline,840,pelagic>=90cm,38365.6829533957,1226.13463002716,2113.25379842209
1981,industrial,Hawaiian.Longline,840,pelagic30-90cm,22212.5258778978,741.553139872129,262.73950993743
1981,industrial,Hawaiian.Longline,840,pelagic>=90cm,37182.2277196535,1562.38670980915,2264.16614802659
1982,industrial,Hawaiian.Longline,840,pelagic30-90cm,15154.8467984423,660.748671551617,176.972320022502
1982,industrial,Hawaiian.Longline,840,pelagic>=90cm,41125.3950940687,2012.30030970647,2437.39272181689
1982,industrial,Hawaiian.Longline,840,shark>=90cm,473.112401241895,11.8961102110225,294.748974591741
1983,industrial,Hawaiian.Longline,840,pelagic30-90cm,17730.3440314228,679.160161054257,208.119309616781
1983,industrial,Hawaiian.Longline,840,pelagic>=90cm,71803.0560114513,5858.14655032269,3838.02611194149
1983,industrial,Hawaiian.Longline,840,shark>=90cm,1709.903363645,43.0801194550731,1065.26980423854
1984,industrial,Hawaiian.Longline,840,pelagic30-90cm,20130.0860468495,705.25756984609,237.917800403524
1984,industrial,Hawaiian.Longline,840,pelagic>=90cm,67317.4720387513,5686.66968892044,4092.12273687406
1984,industrial,Hawaiian.Longline,840,shark>=90cm,1484.27680483446,37.3445398451404,924.704457776985
1985,industrial,Hawaiian.Longline,840,pelagic30-90cm,22800.642679782,781.865659829895,268.688540105781
1985,industrial,Hawaiian.Longline,840,pelagic>=90cm,73074.1586010538,5571.22453081195,3933.14786301715
1986,industrial,Hawaiian.Longline,840,pelagic30-90cm,21447.4981287113,753.598588914822,252.915050177635
1986,industrial,Hawaiian.Longline,840,pelagic>=90cm,68214.6069515962,5733.51779285748,3561.78255022395
1986,industrial,Hawaiian.Longline,840,shark>=90cm,490.409351778158,12.3374199124519,305.525020200421
1987,industrial,Hawaiian.Longline,840,pelagic30-90cm,19092.8724419411,685.206099909625,225.22160039964
1987,industrial,Hawaiian.Longline,840,pelagic>=90cm,81476.3840745292,7084.12902979894,4200.70162949598
1987,industrial,Hawaiian.Longline,840,shark>=90cm,469.842472251199,11.8536701642588,292.711798114186
1988,industrial,Hawaiian.Longline,840,pelagic30-90cm,25796.5493278983,873.328348735678,305.115930262498
1988,industrial,Hawaiian.Longline,840,pelagic>=90cm,62433.8919426035,4648.76506952734,3566.71732225521
1988,industrial,Hawaiian.Longline,840,shark>=90cm,1744.77397880693,43.8781202142236,1086.99419347155
1989,industrial,Hawaiian.Longline,840,pelagic30-90cm,17880.2836343909,830.475398667724,210.58283995555
1989,industrial,Hawaiian.Longline,840,pelagic>=90cm,52568.9566916646,5337.01852035907,2881.04497382813
1990,industrial,Hawaiian.Longline,840,pelagic<30cm,0.432550013065338,0.0308100003749132,0.00518999993801117
1990,industrial,Hawaiian.Longline,840,pelagic30-90cm,16595.0860125375,554.735159898814,195.676420243595
