Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1965.79166666667 13.77 23.99 9.715 17.32 18.58 12.58 20.05 25.18 8.666 20.05 8.666 13.91
1965.875 13.72 23.65 9.688 17.24 18.49 12.54 19.95 24.35 8.643 19.95 8.643 13.94
1965.95833333333 13.59 22.89 9.618 17.02 18.23 12.43 19.62 23.18 8.585 19.62 8.585 13.91
1966.04166666667 13.5 22.27 9.575 16.86 18.02 12.36 19.34 22.43 8.551 19.34 8.551 13.88
1966.125 13.44 21.82 9.548 16.75 17.89 12.31 19.17 21.97 8.529 19.17 8.529 13.87
1966.20833333333 13.41 21.72 9.532 16.7 17.82 12.28 19.07 22.05 8.515 19.07 8.515 13.82
1966.29166666667 13.45 21.84 9.554 16.75 17.88 12.32 19.13 22.31 8.534 19.13 8.534 13.85
1966.375 13.5 22.23 9.576 16.84 17.99 12.36 19.27 23.01 8.552 19.27 8.552 13.84
1966.45833333333 13.58 22.75 9.615 16.97 18.14 12.42 19.46 24 8.583 19.46 8.583 13.84
1966.54166666667 13.68 23.26 9.668 17.13 18.32 12.51 19.68 24.87 8.628 19.68 8.628 13.87
1966.625 13.76 23.65 9.712 17.26 18.48 12.57 19.88 25.42 8.665 19.88 8.665 13.91
1966.70833333333 13.79 23.89 9.728 17.3 18.54 12.6 19.96 25.64 8.679 19.96 8.679 13.9
1966.79166666667 13.8 23.85 9.734 17.32 18.56 12.6 19.99 25.13 8.684 19.99 8.684 13.94
1966.875 13.76 23.51 9.715 17.27 18.51 12.58 19.93 24.25 8.667 19.93 8.667 14
1966.95833333333 13.68 22.94 9.664 17.14 18.35 12.5 19.73 23.28 8.624 19.73 8.624 14.01
1967.04166666667 13.59 22.19 9.623 16.99 18.16 12.43 19.48 22.34 8.59 19.48 8.59 14.02
1967.125 13.58 21.86 9.614 16.95 18.11 12.42 19.4 22.02 8.582 19.4 8.582 14.05
1967.20833333333 13.54 21.76 9.588 16.91 18.07 12.39 19.35 22 8.56 19.35 8.56 14.01
1967.29166666667 13.57 21.97 9.6 16.97 18.14 12.41 19.45 22.41 8.569 19.45 8.569 14
1967.375 13.63 22.39 9.628 17.07 18.27 12.46 19.61 23.07 8.592 19.61 8.592 14.01
1967.45833333333 13.69 22.92 9.664 17.19 18.41 12.51 19.78 24.03 8.623 19.78 8.623 14
1967.54166666667 13.75 23.4 9.695 17.29 18.52 12.56 19.92 24.93 8.649 19.92 8.649 13.98
1967.625 13.86 23.85 9.756 17.46 18.72 12.65 20.17 25.68 8.701 20.17 8.701 14.04
1967.70833333333 13.94 24.21 9.802 17.58 18.87 12.72 20.36 26.1 8.739 20.36 8.739 14.08
1967.79166666667 13.94 24.22 9.804 17.58 18.87 12.72 20.36 25.59 8.741 20.36 8.741 14.1
1967.875 13.89 23.8 9.779 17.49 18.77 12.68 20.24 24.55 8.72 20.24 8.72 14.15
1967.95833333333 13.77 23.07 9.714 17.3 18.55 12.58 19.97 23.36 8.664 19.97 8.664 14.14
1968.04166666667 13.63 22.36 9.636 17.08 18.28 12.46 19.64 22.52 8.6 19.64 8.6 14.06
1968.125 13.59 21.98 9.615 17.02 18.2 12.43 19.53 22.18 8.582 19.53 8.582 14.06
1968.20833333333 13.57 21.81 9.6 16.97 18.14 12.41 19.43 22.06 8.569 19.43 8.569 14.04
1968.29166666667 13.57 22.01 9.603 16.98 18.15 12.41 19.46 22.48 8.572 19.46 8.572 14
1968.375 13.63 22.43 9.633 17.09 18.29 12.46 19.64 23.21 8.596 19.64 8.596 14.01
1968.45833333333 13.72 22.99 9.678 17.23 18.45 12.53 19.84 24.3 8.634 19.84 8.634 14.02
1968.54166666667 13.79 23.54 9.713 17.34 18.59 12.59 20 25.24 8.663 20 8.663 14
1968.625 13.88 24.04 9.763 17.49 18.76 12.67 20.22 25.97 8.705 20.22 8.705 14.03
1968.70833333333 13.95 24.38 9.803 17.61 18.9 12.73 20.4 26.33 8.738 20.4 8.738 14.07
1968.79166666667 13.94 24.32 9.801 17.6 18.9 12.72 20.4 25.65 8.737 20.4 8.737 14.1
1968.875 13.9 23.98 9.781 17.53 18.81 12.69 20.28 24.65 8.72 20.28 8.72 14.15
1968.95833333333 13.83 23.28 9.747 17.41 18.66 12.63 20.08 23.47 8.692 20.08 8.692 14.21
1969.04166666667 13.71 22.49 9.681 17.22 18.43 12.53 19.8 22.58 8.637 19.8 8.637 14.17
1969.125 13.63 22.07 9.635 17.07 18.26 12.46 19.58 22.25 8.6 19.58 8.6 14.1
1969.20833333333 13.6 21.92 9.626 17.02 18.18 12.44 19.47 22.1 8.592 19.47 8.592 14.08
1969.29166666667 13.6 22.02 9.627 17.01 18.16 12.44 19.44 22.33 8.593 19.44 8.593 14.06
1969.375 13.67 22.35 9.661 17.1 18.27 12.49 19.56 22.99 8.621 19.56 8.621 14.07
1969.45833333333 13.75 22.82 9.704 17.23 18.42 12.56 19.74 23.83 8.658 19.74 8.658 14.09
1969.54166666667 13.87 23.32 9.77 17.42 18.64 12.66 20 24.7 8.712 20 8.712 14.15
1969.625 13.95 23.77 9.814 17.56 18.81 12.73 20.22 25.29 8.748 20.22 8.748 14.19
1969.70833333333 13.97 24.06 9.82 17.6 18.85 12.75 20.29 25.55 8.752 20.29 8.752 14.17
1969.79166666667 13.95 24.05 9.811 17.57 18.83 12.74 20.26 25.1 8.744 20.26 8.744 14.17
1969.875 13.88 23.62 9.772 17.45 18.69 12.68 20.09 24.12 8.711 20.09 8.711 14.19
1969.95833333333 13.81 22.81 9.733 17.31 18.51 12.61 19.85 22.95 8.679 19.85 8.679 14.23
1970.04166666667 13.73 22.14 9.696 17.19 18.35 12.55 19.63 22.27 8.648 19.63 8.648 14.23
1970.125 13.68 21.71 9.668 17.09 18.22 12.51 19.45 21.83 8.626 19.45 8.626 14.22
1970.20833333333 13.69 21.55 9.675 17.08 18.19 12.52 19.4 21.79 8.632 19.4 8.632 14.23
1970.29166666667 13.69 21.72 9.674 17.08 18.19 12.52 19.39 22.18 8.631 19.39 8.631 14.19
1970.375 13.73 22.07 9.695 17.14 18.26 12.55 19.48 22.85 8.649 19.48 8.649 14.18
1970.45833333333 13.82 22.55 9.743 17.28 18.42 12.62 19.67 23.73 8.689 19.67 8.689 14.2
1970.54166666667 13.92 23.07 9.799 17.44 18.61 12.71 19.91 24.61 8.736 19.91 8.736 14.24
1970.625 13.98 23.51 9.832 17.55 18.75 12.76 20.09 25.3 8.763 20.09 8.763 14.24
1970.70833333333 14.02 23.78 9.851 17.62 18.84 12.79 20.22 25.51 8.779 20.22 8.779 14.25
1970.79166666667 13.98 23.73 9.829 17.57 18.8 12.76 20.18 24.95 8.759 20.18 8.759 14.23
1970.875 13.91 23.35 9.79 17.47 18.68 12.7 20.04 23.94 8.726 20.04 8.726 14.25
1970.95833333333 13.83 22.74 9.746 17.34 18.53 12.63 19.86 22.98 8.689 19.86 8.689 14.26
1971.04166666667 13.7 21.98 9.676 17.14 18.29 12.52 19.57 22.11 8.63 19.57 8.63 14.21
1971.125 13.62 21.61 9.627 17.01 18.15 12.45 19.39 21.72 8.589 19.39 8.589 14.15
1971.20833333333 13.59 21.44 9.611 16.96 18.08 12.43 19.3 21.62 8.576 19.3 8.576 14.13
1971.29166666667 13.61 21.6 9.62 17 18.13 12.44 19.36 21.92 8.583 19.36 8.583 14.13
1971.375 13.64 22.01 9.634 17.07 18.21 12.47 19.47 22.68 8.594 19.47 8.594 14.09
