r0to20 r0to50 r0to85 r0to100 r0to150 r0to200 r0to1200 r50to150 r50to200 r50to300 r100to200 r100to250 r100to400 r150to600 r200to400 r200to980 r250to500 r400to1200
1961.04166666667 22.1870416666667 22.2204583333333 22.138875 21.9991666666667 21.0039166666667 19.5810833333333 8.568925 20.4012916666667 18.7015416666667 15.9836666666667 17.1634583333333 15.6710833333333 12.9056666666667 9.79173333333333 10.7834583333333 7.09073333333333 9.32600416666667 5.26285
1961.125 21.8970416666667 21.8804583333333 21.778875 21.6791666666667 20.8039166666667 19.4710833333333 8.559925 20.2712916666667 18.6615416666667 15.9936666666667 17.2634583333333 15.7710833333333 12.9756666666667 9.83573333333333 10.8334583333333 7.10773333333333 9.35200416666667 5.26485
1961.20833333333 21.9770416666667 21.9304583333333 21.758875 21.6491666666667 20.7539166666667 19.4310833333333 8.559925 20.1612916666667 18.5915416666667 15.9736666666667 17.2134583333333 15.7510833333333 12.9856666666667 9.85173333333333 10.8634583333333 7.11673333333333 9.36900416666667 5.26685
1961.29166666667 22.1170416666667 22.0504583333333 21.868875 21.7391666666667 20.8039166666667 19.4610833333333 8.562925 20.1812916666667 18.6015416666667 15.9736666666667 17.1934583333333 15.7410833333333 12.9756666666667 9.84773333333333 10.8734583333333 7.11373333333333 9.36400416666667 5.26185
1961.375 22.7870416666667 22.5604583333333 22.218875 22.0191666666667 20.9239166666667 19.5410833333333 8.570925 20.1012916666667 18.5215416666667 15.9336666666667 17.0534583333333 15.6510833333333 12.9256666666667 9.83073333333333 10.8634583333333 7.10673333333333 9.35400416666667 5.25785
1961.45833333333 23.7770416666667 23.3104583333333 22.698875 22.4091666666667 21.1239166666667 19.6710833333333 8.595925 20.0312916666667 18.4615416666667 15.8936666666667 16.9334583333333 15.5710833333333 12.8856666666667 9.82473333333333 10.8634583333333 7.10773333333333 9.35500416666667 5.25885
1961.54166666667 24.6470416666667 24.0404583333333 23.208875 22.8491666666667 21.4239166666667 19.9010833333333 8.639925 20.1212916666667 18.5115416666667 15.9336666666667 16.9434583333333 15.5810833333333 12.8956666666667 9.82973333333333 10.8734583333333 7.11473333333333 9.36100416666667 5.26585
1961.625 25.3670416666667 24.6904583333333 23.658875 23.2391666666667 21.7239166666667 20.1310833333333 8.685925 20.2512916666667 18.6015416666667 15.9836666666667 17.0134583333333 15.6310833333333 12.9256666666667 9.83873333333333 10.8734583333333 7.12473333333333 9.37000416666667 5.27585
1961.70833333333 25.5670416666667 25.0004583333333 23.888875 23.4291666666667 21.9039166666667 20.2810833333333 8.713925 20.3612916666667 18.7115416666667 16.0436666666667 17.1334583333333 15.7010833333333 12.9556666666667 9.84973333333333 10.8734583333333 7.12773333333333 9.37300416666667 5.27885
1961.79166666667 25.0470416666667 24.7904583333333 23.838875 23.3891666666667 21.8839166666667 20.2610833333333 8.699925 20.4312916666667 18.7515416666667 16.0536666666667 17.1434583333333 15.6910833333333 12.9356666666667 9.82873333333333 10.8434583333333 7.11173333333333 9.34900416666667 5.27085
1961.875 24.0870416666667 24.0304583333333 23.428875 23.0491666666667 21.6539166666667 20.0710833333333 8.651925 20.4612916666667 18.7515416666667 16.0236666666667 17.0934583333333 15.6410833333333 12.8956666666667 9.79273333333333 10.7934583333333 7.09073333333333 9.32000416666667 5.25985
1961.95833333333 23.0470416666667 23.0804583333333 22.788875 22.5191666666667 21.3139166666667 19.8110833333333 8.605925 20.4312916666667 18.7215416666667 16.0036666666667 17.1134583333333 15.6510833333333 12.8956666666667 9.78973333333333 10.7934583333333 7.08773333333333 9.31900416666667 5.25585
1962.04166666667 22.3070416666667 22.3404583333333 22.198875 22.0091666666667 20.9439166666667 19.5210833333333 8.548925 20.2412916666667 18.5815416666667 15.9236666666667 17.0334583333333 15.6010833333333 12.8756666666667 9.77873333333333 10.7934583333333 7.07873333333333 9.31300416666667 5.24485
1962.125 21.8870416666667 21.8904583333333 21.778875 21.6391666666667 20.6839166666667 19.3310833333333 8.513925 20.0812916666667 18.4815416666667 15.8736666666667 17.0234583333333 15.6010833333333 12.8756666666667 9.77873333333333 10.7934583333333 7.07573333333333 9.30800416666666 5.23985
1962.20833333333 21.8170416666667 21.8004583333333 21.668875 21.5291666666667 20.5939166666667 19.2610833333333 8.495925 19.9912916666667 18.4115416666667 15.8236666666667 16.9934583333333 15.5710833333333 12.8456666666667 9.76273333333333 10.7734583333333 7.06673333333333 9.28900416666667 5.23585
1962.29166666667 22.0970416666667 22.0204583333333 21.818875 21.6491666666667 20.6239166666667 19.2810833333333 8.495925 19.9312916666667 18.3615416666667 15.7936666666667 16.9034583333333 15.5110833333333 12.8156666666667 9.74973333333333 10.7734583333333 7.06073333333333 9.28000416666667 5.23185
1962.375 22.7870416666667 22.5704583333333 22.198875 21.9791666666667 20.8239166666667 19.4210833333333 8.516925 19.9612916666667 18.3615416666667 15.7936666666667 16.8634583333333 15.4910833333333 12.7956666666667 9.74073333333333 10.7734583333333 7.05673333333333 9.27300416666667 5.22985
1962.45833333333 23.7170416666667 23.2604583333333 22.658875 22.3491666666667 21.0139166666667 19.5510833333333 8.539925 19.9012916666667 18.3115416666667 15.7636666666667 16.7534583333333 15.4210833333333 12.7656666666667 9.73373333333333 10.7734583333333 7.05573333333333 9.27300416666667 5.22885
1962.54166666667 24.6370416666667 23.9904583333333 23.158875 22.7691666666667 21.2739166666667 19.7310833333333 8.571925 19.9312916666667 18.3115416666667 15.7636666666667 16.6934583333333 15.3710833333333 12.7456666666667 9.72973333333333 10.7734583333333 7.05773333333333 9.27500416666667 5.23185
1962.625 25.3770416666667 24.6504583333333 23.628875 23.1891666666667 21.6339166666667 20.0210833333333 8.633925 20.1312916666667 18.4715416666667 15.8736666666667 16.8534583333333 15.4910833333333 12.8156666666667 9.75773333333333 10.8034583333333 7.07473333333333 9.29900416666667 5.24385
1962.70833333333 25.6470416666667 25.0204583333333 23.898875 23.4191666666667 21.8039166666667 20.1410833333333 8.655925 20.2012916666667 18.5115416666667 15.8936666666667 16.8634583333333 15.4910833333333 12.8256666666667 9.75873333333333 10.8034583333333 7.07673333333333 9.30400416666667 5.24685
1962.79166666667 25.0970416666667 24.8304583333333 23.878875 23.3991666666667 21.7939166666667 20.1410833333333 8.654925 20.2812916666667 18.5815416666667 15.9336666666667 16.8934583333333 15.5010833333333 12.8256666666667 9.75873333333333 10.7934583333333 7.07473333333333 9.30200416666667 5.24585
1962.875 24.0670416666667 24.0504583333333 23.498875 23.0791666666667 21.5739166666667 19.9710833333333 8.623925 20.3412916666667 18.6115416666667 15.9436666666667 16.8634583333333 15.4810833333333 12.8156666666667 9.75273333333333 10.7934583333333 7.07173333333333 9.30100416666667 5.24285
1962.95833333333 23.0170416666667 23.0304583333333 22.808875 22.5491666666667 21.3039166666667 19.8010833333333 8.602925 20.4512916666667 18.7215416666667 16.0336666666667 17.0434583333333 15.6210833333333 12.8956666666667 9.78773333333333 10.8234583333333 7.08573333333333 9.32700416666666 5.24685
